X,Y,OBJECTID,DeviceId,DeviceRef,DeviceName,DeviceText,SubBuildingName,BuildingName,BuildingNumber,Thoroughfare,Street,DoubDep_Locality,Dep_Locality,PostTown,County,PostCode,UPRN,LocationShDesc,LocationLgDesc,Manufacturer,Model,PublishStatusID,DateCreated,DateUpdated,Attribution,OwnOrgName,OwnSchemeCode,OwnWebsite,OwnTelephoneNo,CtlOrgName,CtlSchemeCode,CtlWebsite,CtlTelephoneNo,Open24Hours,DeviceNetworks,DeviceStatus,PublishStatus,DeviceValidated,Moderated,LastUpdated,LastUpdatedBy,PaymentReq,PaymentDet,SubsRequired,SubsDetails,ParkingFees,ParkingFeesDet,ParkingFeesUrl,AccRestrict,AccRestrictDet,PhysRestrict,PhysRestrictText,OnStreet,LocationType,Bearing,Access24Hours,Easting,Northing,Latitude,Longitude
359275.2029,174086.6173,1,50dd7100bcbd98c41b1179143a2325a4,PP-12614,Nissan Wessex Bristol,,,,,Frome Valley Walkway,,,,Bristol,City of Bristol,BS5 0TT,,Nissan Wessex Bristol,"Nissan Wessex Bristol, Pennywell Road, Bristol",,,1,2012/06/18 12:48:50+00,2015/11/03 14:22:00+00,POD Point,POD Point,PP,http://pod-point.com,020 7247 4114,POD Point,PP,http://pod-point.com,020 7247 4114,Yes,POD Point,In service,Published,0,Y,2015/11/03 14:22:00+00,NCR Admin,Yes,,Yes,,No,,,No,,No,,Yes,Other,,Yes,359275.20294705,174086.61729347,51.464275,-2.587624
374568.7159,165016.8399,2,f1d32765fb6215ed9ba20bd9e59733b8,PP-5112289,Charlotte Street Car Park 1,,,Charlotte Street Car Park,9,Charlotte Street,,,,Bath,Bath and North East Somerset,BA1 2NE,,Charlotte Street Car Park 1,There are two 7kw/7kw Podpoints at Charlotte Street Car Park.,,,1,2013/09/24 04:09:44+00,2016/01/15 15:08:37+00,POD Point,POD Point,PP,http://pod-point.com,020 7247 4114,POD Point,PP,http://pod-point.com,020 7247 4114,Yes,POD Point,In service,Published,0,Y,2016/01/15 15:08:37+00,NCR Admin,Yes,,Yes,,No,,,No,,No,,Yes,Other,,Yes,374568.71593861,165016.83993432,51.38362,-2.366824
374559.1821,165016.887800001,3,492976d6fcdd5205b1ddf77458d42a39,PP-12791,Charlotte Street Car Park 2,,,,9,Charlotte Street,,,,Bath,Bath and North East Somerset,BA1 2NE,,Charlotte Street Car Park 2,There are two 7kw/7kw Podpoints at Charlotte Street Car Park.,,,1,2013/09/24 04:09:44+00,2016/01/15 15:08:53+00,POD Point,POD Point,PP,http://pod-point.com,020 7247 4114,POD Point,PP,http://pod-point.com,020 7247 4114,Yes,POD Point,In service,Published,0,Y,2016/01/15 15:08:53+00,NCR Admin,Yes,,Yes,,No,,,No,,No,,Yes,Other,,Yes,374559.18214686,165016.88779189,51.38362,-2.366961
362384.8501,178209.1647,4,df952959a69bbc4cf649113a7cc59cd6,PP-5112218,Motability Bristol,,,,,,"Bristol Park House, 610 Bristol Business Park, Coldharbour Lane, Bristol",,,Bristol,City of Bristol,BS16 1EJ,,Motability Bristol,This chargepoint has restricted access,,,1,2013/09/24 04:09:44+00,2016/01/11 11:40:40+00,POD Point,POD Point,PP,http://pod-point.com,020 7247 4114,POD Point,PP,http://pod-point.com,020 7247 4114,Yes,POD Point,In service,Published,0,N,,,Yes,,Yes,,No,,,No,,No,,Yes,Other,,Yes,362384.85008194,178209.1647238,51.501557,-2.543303
373304.3458,161438.7202,5,1a534df4ec7023f89613a24be21a149f,PP-5112351,Odd Down Park & Ride 2,,,Odd Down Park and Ride,,Combe Hay Lane,,,,Bath,Bath and North East Somerset,BA2 8PA,,This charge point is part of the POD Point Open network scheme,This charge point is located at the Odd Down Park & Ride in Bath,,,1,2013/09/24 04:09:48+00,2016/01/15 15:09:16+00,POD Point,POD Point,PP,http://pod-point.com,020 7247 4114,POD Point,PP,http://pod-point.com,020 7247 4114,Yes,POD Point,In service,Published,0,Y,2016/01/15 15:09:16+00,NCR Admin,Yes,,Yes,,No,,,No,,No,,Yes,Other,,Yes,373304.34583402,161438.72018277,51.351389,-2.384722
373126.2034,167989.043500001,6,a7a0a1f4201d3a346c365914c1ebb3bd,PP-5112352,Lansdown Park & Ride 2,,,,,Lansdown Road,,,,Bath,Bath and North East Somerset,BA1 9BJ,,This charge point is part of the POD Point open network scheme,This charging post is located at the Lansdown Park & Ride in Bath,,,1,2013/09/24 04:09:48+00,2016/01/15 15:09:40+00,POD Point,POD Point,PP,http://pod-point.com,020 7247 4114,POD Point,PP,http://pod-point.com,020 7247 4114,Yes,POD Point,In service,Published,0,Y,2016/01/15 15:09:40+00,NCR Admin,Yes,,Yes,,No,,,No,,No,,Yes,Other,,Yes,373126.20341941,167989.04352347,51.410278,-2.387778
360063.2704,174032.635399999,7,7b5fb650c7bca123d83dd9cf7f7f9bca,PP-5112282,Wessex Garages Bristol,,,,,,"Pennywell Road, Bristol",,,Bristol,City of Bristol,BS5 0TT,,This chargepoint is at the Nissan dealership in Wessex Garage,This charge point is available for customers visiting the Nissan dealership in Wessex Garage,,,1,2013/09/24 04:09:49+00,2016/01/11 11:40:43+00,POD Point,POD Point,PP,http://pod-point.com,020 7247 4114,POD Point,PP,http://pod-point.com,020 7247 4114,Yes,POD Point,In service,Published,0,N,,,Yes,,Yes,,No,,,No,,No,,Yes,Other,,Yes,360063.2703688,174032.63544141,51.463846,-2.576274
373313.3293,161438.673,8,40f4775d64533ee66e3e20ae64228661,PP-5112350,Odd Down Park & Ride 1,,,Odd Down Park & Ride,,Combe Hay Lane,,,,Bath,Bath and North East Somerset,BA2 8PA,,This charge point is part of the POD Point Open network scheme,This charge point is located at the Odd Down Park & Ride in Bath,,,1,2013/09/24 04:09:49+00,2016/01/15 15:10:04+00,POD Point,POD Point,PP,http://pod-point.com,020 7247 4114,POD Point,PP,http://pod-point.com,020 7247 4114,Yes,POD Point,In service,Published,0,Y,2016/01/15 15:10:04+00,NCR Admin,Yes,,Yes,,No,,,No,,No,,Yes,Other,,Yes,373313.32931179,161438.67303754,51.351389,-2.384593
369653.8883,164501.407600001,9,803a552df258391d9ee9347f7bb38cd0,PP-5112316,Academic Building,,,,,Bath Spa University,"Newton Park, Newton St Loe",,,Bath,Bath and North East Somerset,BA2 9BN,,This chargepoint is part of the POD Point open network scheme,This is a public chargepoint situated at the Academic Building in Bath Spa University,,,1,2013/09/24 04:09:50+00,2016/01/15 15:11:51+00,POD Point,POD Point,PP,http://pod-point.com,020 7247 4114,POD Point,PP,http://pod-point.com,020 7247 4114,Yes,POD Point,In service,Published,0,Y,2016/01/15 15:11:51+00,NCR Admin,Yes,,Yes,,No,,,No,,No,,Yes,Other,,Yes,369653.88832232,164501.40759022,51.378743,-2.437402
365283.5741,172350.370200001,10,a999c0cab150490ffefb7ce9ec889830,CYC60469,Longwell Green Leisure Centre,Publicly Accessible car park ,Aspects Leisure Park ,Longwell Green Leisure Centre,,,Leisure Road,,,Bristol,City of Bristol,BS15 9LA,,Longwell Green Leisure Centre,Situated in the car park behind the leisure centre and near the entrance to the building. Take the first exit off the roundabout on Leisure Road and then first left into the car park.,,,1,2015/02/03 11:46:47+00,2015/09/09 13:37:12+00,Charge Your Car,Active Centres,O47,http://www.activecentres.org,0300 333 0300,Charge Your Car,CYC,http://www.chargeyourcar.org.uk,01912 650500,Yes,Charge Your Car,In service,Published,0,N,,,Yes,,Yes,,No,,,No,,No,,No,Leisure centre,,Yes,365283.57408701,172350.37023998,51.449065,-2.500966
362230.9687,182002.9287,11,6928deac51a9dcc1f063ccec46d3c067,CYC60466,Bradley Stoke Leisure Centre,Car park,,Bradley Stoke Leisure Centre,,,Fiddlers Wood Ln,Bradley Stoke,,Almondsbury,South Gloucestershire,BS32 9BS,,,,,,1,2015/02/03 11:49:27+00,2015/09/09 13:37:12+00,Charge Your Car,Active Centres,O47,http://www.activecentres.org,0300 333 0300,Charge Your Car,CYC,http://www.chargeyourcar.org.uk,01912 650500,,Charge Your Car,In service,Published,0,N,,,Yes,,Yes,,No,,,No,,No,,No,Leisure centre,,No,362230.96865315,182002.92868776,51.535657,-2.545928
374412.6555,165161.7609,12,f370d78730fa28714863a68dda7e12ae,60420 / 60424,Charlotte Street Car Park,Car Park,,,,Crescent Gardens,Marlborough Lane,,,Bath,Bath and North East Somerset,BA1 2NB,,Marlborough Lane,Publicly accessible Bath City Council Car Park,,,1,2015/02/23 17:23:09+00,2016/01/15 15:14:10+00,Source West,BANES Council,O54,http://www.bathnes.gov.uk,01225 394041,Charge Your Car,CYC,http://www.chargeyourcar.org.uk,01912 650500,,Source West,In service,Published,0,N,,,No,,Yes,,No,,,No,,No,,No,Other,,No,374412.65550642,165161.76092295,51.384916,-2.369077
